ori_label,total_num,untargeted_num,untargeted_asr,targeted_num,targeted_asr,pixeltext_white_back_prob,pixeltext_black_back_prob,pixeltext_middle_back_prob
barrel,30939,13710,0.4431300300591486,1562,0.0504864410614434,0.859375,0.89697265625,0.85498046875
screwdriver,30939,20988,0.6783671094734801,1577,0.0509712660396263,0.72265625,0.7119140625,0.72705078125
cauliflower,30939,16590,0.5362164258702609,1579,0.0510359093700507,0.75146484375,0.619140625,0.60986328125
damselfly,30939,14430,0.4664016290119267,1592,0.0514560910178092,0.288330078125,0.8740234375,0.73095703125
gar,30939,11679,0.3774847280131872,1594,0.0515207343482336,0.93896484375,0.951171875,0.98193359375
marmoset,30939,15106,0.4882510746953683,1599,0.0516823426742945,0.88916015625,0.98193359375,0.8330078125
wig,30939,11669,0.3771615113610653,1604,0.0518439510003555,0.3759765625,0.97265625,0.9833984375
pekinese,30939,14480,0.4680177122725363,1613,0.0521348459872652,0.6875,,
bottlecap,30939,16126,0.5212191732118039,1625,0.0525227059698115,0.83251953125,0.88818359375,0.87548828125
cock,30939,13035,0.4213129060409192,1626,0.0525550276350237,0.324951171875,0.70947265625,0.45947265625
ballpoint,30939,16082,0.5197970199424674,1643,0.053104495943631,0.6845703125,0.57666015625,0.53076171875
teddy,30939,12340,0.3988493487184459,1650,0.0533307476001163,0.94140625,0.95703125,0.92626953125
breakwater,30939,18471,0.5970134781343935,1657,0.0535569992566017,0.81591796875,0.357421875,0.2132568359375
stole,30939,12168,0.393290022301949,1678,0.0542357542260577,0.2470703125,0.6669921875,0.9833984375
tractor,30939,13827,0.4469116648889751,1681,0.0543327192216943,0.921875,0.75,0.96875
panpipe,30939,14456,0.4672419923074437,1684,0.0544296842173308,0.72119140625,0.8837890625,0.88427734375
racket,30939,14574,0.4710559488024823,1686,0.0544943275477552,0.54736328125,0.307373046875,0.552734375
stingray,30939,13800,0.4460389799282459,1688,0.0545589708781796,0.296875,0.47314453125,0.6435546875
mortar,30939,13057,0.4220239826755874,1690,0.054623614208604,0.634765625,0.48974609375,0.73046875
screw,30939,13328,0.4307831539480914,1697,0.0548498658650893,0.962890625,0.71484375,0.96484375
odometer,30939,16472,0.5324024693752222,1721,0.0556255858301819,0.966796875,0.9921875,0.99462890625
gong,30939,12553,0.4057338634086428,1723,0.0556902291606063,0.578125,0.7978515625,0.8193359375
dogsled,30939,14177,0.4582242477132421,1740,0.0562396974692136,0.490234375,0.5771484375,0.87353515625
broom,30939,13424,0.4338860338084618,1751,0.0565952357865477,0.98486328125,0.9892578125,0.97119140625
bassoon,30939,14702,0.4751931219496428,1793,0.0579527457254597,0.95849609375,0.93212890625,0.98583984375
lotion,30939,12646,0.4087397782733766,1794,0.0579850673906719,0.98291015625,0.59814453125,0.9697265625
ear,30939,11430,0.3694366333753515,1814,0.0586315006949158,0.99169921875,0.99462890625,0.99951171875
radiator,30939,16157,0.5222211448333818,1835,0.0593102556643718,0.262451171875,0.270751953125,0.26220703125
wok,30939,12014,0.3883124858592715,1838,0.0594072206600084,0.916015625,0.99658203125,0.916015625
nipple,30939,13252,0.4283267073919648,1855,0.0599566889686156,0.9111328125,0.9794921875,0.99365234375
lampshade,30939,16301,0.5268754646239374,1857,0.06002133229904,0.77001953125,0.8525390625,0.9658203125
organ,30939,13532,0.4373767736513785,1879,0.0607324089337082,0.48193359375,0.8955078125,0.962890625
dumbbell,30939,15961,0.5158860984517922,1910,0.0617343805552862,0.85107421875,0.9208984375,0.9306640625
quill,30939,12053,0.3895730308025469,1916,0.0619283105465593,0.783203125,0.9169921875,0.7734375
cleaver,30939,13598,0.4395100035553831,1917,0.0619606322117715,0.94677734375,0.85595703125,0.9560546875
gondola,30939,15012,0.4852128381654222,1919,0.0620252755421959,0.482666015625,0.869140625,0.9208984375
turnstile,30939,14324,0.4629755324994343,1921,0.0620899188726203,0.564453125,0.49365234375,0.8896484375
castle,30939,13610,0.4398978635379295,1924,0.0621868838682568,0.99609375,0.9892578125,0.99365234375
snowplow,30939,15071,0.4871198164129416,1951,0.063059568828986,0.84765625,0.853515625,0.904296875
parachute,30939,16519,0.5339215876401953,1966,0.0635443938071689,0.7763671875,0.7587890625,0.71826171875
puffer,30939,13211,0.4270015191182649,1996,0.0645140437635347,0.7724609375,0.7421875,0.6181640625
binoculars,30939,16211,0.5239665147548401,1997,0.0645463654287469,0.60107421875,0.884765625,0.7451171875
whippet,30939,14220,0.4596140793173664,1998,0.064578687093959,0.90576171875,0.98583984375,0.9970703125
pajama,30939,14461,0.4674036006335046,2038,0.0658715537024467,0.63330078125,0.8994140625,0.9912109375
tray,30939,12534,0.4051197517696112,2051,0.0662917353502052,0.8896484375,0.935546875,0.90185546875
corn,30939,12380,0.4001422153269336,2063,0.0666795953327515,0.99462890625,0.998046875,0.9990234375
monarch,30939,14468,0.46762985228999,2086,0.0674229936326319,0.9462890625,0.9755859375,0.95654296875
guacamole,30939,16691,0.5394809140566922,2094,0.0676815669543294,0.970703125,0.257080078125,0.70361328125
bloodhound,30939,16764,0.5418403956171822,2145,0.0693299718801512,0.87841796875,0.876953125,0.86865234375
platypus,30939,15337,0.4957173793593846,2154,0.069620866867061,0.334228515625,0.20458984375,0.41552734375
stethoscope,30939,16167,0.5225443614855038,2202,0.0711723067972461,0.398193359375,0.1109619140625,0.315673828125
ocarina,30939,13968,0.4514690196838941,2221,0.0717864184362778,0.376953125,0.93017578125,0.88427734375
sarong,30939,13332,0.4309124406089402,2223,0.0718510617667022,0.9033203125,0.953125,0.94384765625
sombrero,30939,15346,0.4960082743462943,2226,0.0719480267623388,0.34521484375,0.57080078125,0.489990234375
stove,30939,12719,0.4110992598338666,2227,0.071980348427551,0.9873046875,0.96484375,0.982421875
crayfish,30939,15078,0.4873460680694269,2249,0.0726914250622192,0.837890625,0.9404296875,0.962890625
sturgeon,30939,14181,0.4583535343740909,2275,0.0735317883577361,0.70263671875,0.5400390625,0.84765625
wreck,30939,13160,0.4253531141924432,2286,0.0738873266750703,0.374755859375,0.6396484375,0.486328125
mitten,30939,12835,0.4148485729984809,2308,0.0745984033097385,0.96142578125,0.73388671875,0.966796875
chiton,30939,13119,0.4240279259187433,2326,0.0751801932835579,0.51513671875,0.97509765625,0.927734375
swab,30939,12930,0.4179191311936391,2331,0.0753418016096189,0.85791015625,0.334716796875,0.87060546875
hummingbird,30939,17245,0.5573871165842464,2368,0.07653770322247,0.32568359375,0.320068359375,0.73193359375
convertible,30939,15306,0.4947154077378066,2384,0.077054849865865,0.47265625,0.7392578125,0.8525390625
carousel,30939,14287,0.4617796308865833,2392,0.0773134231875626,0.60400390625,0.7392578125,0.85986328125
handkerchief,30939,17248,0.557484081579883,2404,0.0777012831701089,0.03546142578125,0.16455078125,0.8291015625
toaster,30939,14231,0.4599696176347005,2406,0.0777659265005333,0.9853515625,0.99267578125,0.998046875
joystick,30939,14904,0.4817220983225055,2424,0.0783477164743527,0.89794921875,0.94482421875,0.93896484375
angora,30939,14163,0.4577717444002715,2440,0.0788648631177478,0.74267578125,,
harmonica,30939,17191,0.5556417466627881,2450,0.0791880797698697,0.96435546875,0.92919921875,0.5546875
cup,30939,12355,0.3993341736966288,2469,0.0798021914089014,0.68505859375,0.85107421875,0.6435546875
torch,30939,13076,0.4226380943146191,2477,0.0800607647305989,0.99169921875,0.99951171875,0.9990234375
trombone,30939,17174,0.5550922783541808,2484,0.0802870163870842,0.477294921875,0.9453125,0.9892578125
flatworm,30939,14536,0.469827725524419,2500,0.0808041630304793,0.966796875,0.96533203125,0.9970703125
speedboat,30939,16367,0.5290086945279421,2533,0.0818707779824816,0.978515625,0.9970703125,0.99462890625
eft,30939,11196,0.3618733637156986,2558,0.0826788196127864,0.93896484375,0.99951171875,0.99951171875
lemon,30939,13701,0.4428391350722389,2584,0.0835191829083034,0.9833984375,0.9794921875,0.99560546875
accordion,30939,15282,0.4939396877727141,2602,0.0841009728821228,0.94677734375,0.9326171875,0.81787109375
terrapin,30939,14064,0.4545718995442645,2625,0.0848443711820033,0.99853515625,0.998046875,0.99951171875
bullfrog,30939,14699,0.4750961569540062,2635,0.0851675878341252,0.9345703125,0.96533203125,0.99072265625
bee,30939,12778,0.413006238081386,2644,0.0854584828210349,0.9677734375,0.97998046875,0.98974609375
desk,30939,14172,0.4580626393871812,2688,0.0868806360903713,0.49609375,0.471923828125,0.697265625
megalith,30939,14444,0.4668541323248973,2725,0.0880765377032224,0.9609375,0.9853515625,0.9873046875
refrigerator,30939,16729,0.5407091373347555,2728,0.088173502698859,0.9189453125,0.91552734375,0.93408203125
jersey,30939,13459,0.4350172920908885,2754,0.089013865994376,0.99267578125,0.99755859375,0.99755859375
scorpion,30939,14381,0.4648178674165293,2795,0.0903390542680759,0.767578125,0.9453125,0.9453125
