ori_label,total_num,untargeted_num,untargeted_asr,targeted_num,targeted_asr,pixeltext_white_back_prob,pixeltext_black_back_prob,pixeltext_middle_back_prob
cardigan,30939,14184,0.4584504993697275,0,0.0,0.448974609375,0.482177734375,0.44384765625
maillot,30939,13258,0.428520637383238,0,0.0,0.402587890625,0.40869140625,0.3759765625
crane,30939,12724,0.4112608681599276,0,0.0,0.18603515625,0.379150390625,0.461669921875
potpie,30939,13297,0.4297811823265134,14,0.0004525033129706,0.07879638671875,0.0182952880859375,0.032623291015625
sunglasses,30939,20671,0.6681211416012153,40,0.0012928666084876,0.241943359375,0.1365966796875,0.2120361328125
lorikeet,30939,13587,0.4391544652380491,47,0.001519118264973,0.0004630088806152,0.0009765625,0.0042037963867187
hotdog,30939,13257,0.4284883157180258,48,0.0015514399301852,0.191650390625,0.10528564453125,0.125
brambling,30939,15813,0.5111024920003878,50,0.0016160832606095,0.0033588409423828,0.0026092529296875,0.0012893676757812
saluki,30939,12789,0.41336177639872,52,0.0016807265910339,0.0013284683227539,,
yurt,30939,10934,0.3534050874301044,57,0.0018423349170949,0.0008916854858398,0.0002548694610595,0.0005693435668945
rifle,30939,12114,0.3915446523804906,63,0.002036264908368,0.03167724609375,0.01959228515625,0.000368595123291
bolete,30939,13486,0.4358899770516177,64,0.0020685865735802,0.0026130676269531,0.0006022453308105,0.0023231506347656
titi,30939,10522,0.3400885613626814,65,0.0021009082387924,0.0023136138916015,0.00445556640625,0.0142745971679687
redshank,30939,14637,0.4730922137108503,65,0.0021009082387924,0.0048332214355468,3.713369369506836e-05,0.0027694702148437
harvestman,30939,17611,0.5692168460519086,75,0.0024241248909143,0.0002524852752685,0.0003607273101806,2.664327621459961e-05
apron,30939,12152,0.3927728756585539,77,0.0024887682213387,0.06256103515625,0.150146484375,0.35546875
vizsla,30939,11657,0.376773651378519,81,0.0026180548821875,0.1632080078125,0.07647705078125,0.1419677734375
stupa,30939,12024,0.3886357025113934,86,0.0027796632082484,0.1292724609375,0.040191650390625,0.0533447265625
basset,30939,13258,0.428520637383238,86,0.0027796632082484,0.0068817138671875,0.033935546875,0.0120010375976562
yawl,30939,11099,0.358738162190116,96,0.0031028798603704,0.0109481811523437,0.0117034912109375,0.066650390625
moped,30939,13051,0.4218300526843143,97,0.0031352015255825,0.01593017578125,0.0055198669433593,0.0396728515625
basenji,30939,13440,0.4344031804518569,98,0.0031675231907947,0.0046463012695312,0.0114822387695312,0.0178070068359375
coucal,30939,12812,0.4141051746986005,103,0.0033291315168557,0.0100936889648437,0.0102767944335937,0.0004019737243652
otterhound,30939,15309,0.4948123727334432,105,0.0033937748472801,0.222412109375,0.1363525390625,0.271484375
pickelhaube,30939,17198,0.5558679983192734,107,0.0034584181777045,0.051910400390625,0.028106689453125,0.34521484375
dhole,30939,12956,0.418759494489156,107,0.0034584181777045,0.025482177734375,0.0141830444335937,0.0098724365234375
zebra,30939,12113,0.3915123307152784,109,0.0035230615081288,0.013214111328125,0.0088348388671875,0.0064888000488281
bittern,30939,12527,0.4048935001131258,113,0.0036523481689776,0.2161865234375,0.045806884765625,0.11981201171875
spoonbill,30939,14754,0.4768738485406768,114,0.0036846698341898,0.0022792816162109,0.0001827478408813,0.0002108812332153
loggerhead,30939,16915,0.5467209670642231,115,0.003716991499402,0.001204490661621,0.0017900466918945,0.0048141479492187
meerkat,30939,13884,0.44875399980607,118,0.0038139564950386,0.0122756958007812,0.000986099243164,0.0016345977783203
tiger,30939,12591,0.4069620866867061,121,0.0039109214906752,0.1829833984375,0.154541015625,0.201171875
entlebucher,30939,16380,0.5294288761757006,127,0.0041048514819483,0.10833740234375,,
rottweiler,30939,14336,0.4633633924819806,131,0.0042341381427971,0.09185791015625,,
tench,30939,12835,0.4148485729984809,131,0.0042341381427971,0.07305908203125,0.021728515625,0.2122802734375
ox,30939,10200,0.3296809851643557,136,0.004395746468858,0.039794921875,0.0171966552734375,0.398681640625
pier,30939,11520,0.3723455832444488,137,0.0044280681340702,0.0007600784301757,0.0091018676757812,0.0408935546875
hare,30939,11157,0.3606128187724232,137,0.0044280681340702,0.0118026733398437,0.0061111450195312,0.018707275390625
dowitcher,30939,15586,0.5037654739972204,140,0.0045250331297068,0.051483154296875,0.0063514709472656,0.0057563781738281
patio,30939,12166,0.3932253789715246,149,0.0048159281166165,0.11090087890625,0.08917236328125,0.301513671875
lipstick,30939,12881,0.4163353695982417,151,0.0048805714470409,0.55126953125,0.71826171875,0.391357421875
barn,30939,12181,0.3937102039497075,151,0.0048805714470409,0.68017578125,0.424072265625,0.362548828125
goldfinch,30939,15050,0.4864410614434856,154,0.0049775364426775,0.041290283203125,0.06707763671875,0.0726318359375
briard,30939,12579,0.4065742267041598,156,0.0050421797731019,0.0321044921875,0.08306884765625,0.0186004638671875
minivan,30939,13174,0.4258056175054139,156,0.0050421797731019,0.07818603515625,0.164794921875,0.16015625
trifle,30939,11878,0.3839167393904134,160,0.0051714664339506,0.288330078125,0.0066795349121093,0.6298828125
crib,30939,11262,0.3640065936197033,165,0.0053330747600116,0.038726806640625,0.0066184997558593,0.0919189453125
viaduct,30939,13340,0.4311710139306377,169,0.0054623614208604,0.08599853515625,0.0155410766601562,0.0163116455078125
capuchin,30939,14830,0.4793302950968033,172,0.0055593264164969,0.0066375732421875,0.0101318359375,0.0093460083007812
hen,30939,10859,0.35098096253919,176,0.0056886130773457,0.17529296875,0.40576171875,0.1534423828125
collie,30939,13697,0.4427098484113901,180,0.0058178997381945,0.0039405822753906,0.0051918029785156,0.0116119384765625
otter,30939,11341,0.3665600051714664,181,0.0058502214034067,0.0061531066894531,0.0029373168945312,0.0019426345825195
llama,30939,12101,0.3911244707327321,181,0.0058502214034067,0.0183563232421875,0.0057334899902343,0.05792236328125
altar,30939,11841,0.3827208377775623,182,0.0058825430686188,0.0219268798828125,0.0249786376953125,0.021728515625
bib,30939,11406,0.3686609134102589,184,0.0059471863990432,0.427490234375,0.55859375,0.2498779296875
cuirass,30939,12744,0.4119073014641714,184,0.0059471863990432,0.0709228515625,0.0094146728515625,0.0062370300292968
bison,30939,12940,0.418242347845761,187,0.0060441513946798,0.07000732421875,0.05572509765625,0.11639404296875
tick,30939,11666,0.3770645463654287,187,0.0060441513946798,0.0400390625,0.03570556640625,0.51611328125
ringlet,30939,13018,0.4207634377323119,189,0.0061087947251042,0.1080322265625,0.81396484375,0.04522705078125
schooner,30939,15167,0.490222696273312,190,0.0061411163903164,0.0044097900390625,0.011077880859375,0.0338134765625
chickadee,30939,15264,0.4933578977988946,195,0.0063027247163773,0.0162811279296875,0.0004487037658691,0.00811767578125
echidna,30939,13826,0.4468793432237629,203,0.0065612980380749,0.10736083984375,0.044586181640625,0.12091064453125
lynx,30939,12483,0.4034713468437894,204,0.0065936197032871,0.331787109375,0.130859375,0.201904296875
bassinet,30939,14080,0.4550890461876596,209,0.006755228029348,0.08380126953125,0.0221099853515625,0.055511474609375
cicada,30939,12846,0.4152041113158149,209,0.006755228029348,0.0667724609375,0.04522705078125,0.027679443359375
gibbon,30939,14206,0.4591615760043957,210,0.0067875496945602,0.0010108947753906,0.0089340209960937,0.0001754760742187
quail,30939,12046,0.3893467791460616,212,0.0068521930249846,0.0299530029296875,0.0098876953125,0.0147628784179687
jaguar,30939,13174,0.4258056175054139,215,0.0069491580206212,0.0789794921875,0.0020790100097656,0.033599853515625
cheetah,30939,13394,0.4329163838520961,216,0.0069814796858334,0.09185791015625,0.011138916015625,0.0176849365234375
komondor,30939,16475,0.5324994343708588,217,0.0070138013510456,0.0121841430664062,0.0054359436035156,0.031494140625
sax,30939,10700,0.3458418177704515,220,0.0071107663466821,0.390380859375,0.42724609375,0.65625
hornbill,30939,14458,0.467306635637868,221,0.0071430880118943,0.0052452087402343,0.0003943443298339,0.0005855560302734
hay,30939,11051,0.3571867222599308,223,0.0072077313423187,0.14404296875,0.1263427734375,0.1390380859375
vase,30939,11481,0.3710850383011733,224,0.0072400530075309,0.0298004150390625,0.494384765625,0.336181640625
bulbul,30939,12676,0.4097094282297424,225,0.0072723746727431,0.1256103515625,0.0005836486816406,0.0011472702026367
envelope,30939,13647,0.4410937651507806,227,0.0073370180031675,0.7138671875,0.53662109375,0.472412109375
siamang,30939,13966,0.4514043763534697,228,0.0073693396683797,0.0049285888671875,0.032470703125,0.013641357421875
earthstar,30939,14706,0.4753224086104916,229,0.0074016613335919,0.55908203125,0.252197265625,0.080078125
airedale,30939,14001,0.4525356346358964,238,0.0076925563205016,0.0234222412109375,,
borzoi,30939,13241,0.4279711690746307,238,0.0076925563205016,0.0762939453125,0.006622314453125,0.0150985717773437
ant,30939,10794,0.3488800543003975,240,0.007757199650926,0.7548828125,0.89599609375,0.828125
ptarmigan,30939,15329,0.495458806037687,240,0.007757199650926,0.0163726806640625,0.000178575515747,0.0059165954589843
bathtub,30939,14050,0.4541193962312938,242,0.0078218429813504,0.525390625,0.1280517578125,0.214111328125
marmot,30939,13912,0.4496590064320114,242,0.0078218429813504,0.07562255859375,0.04339599609375,0.10858154296875
spatula,30939,13705,0.4429684217330877,245,0.0079188079769869,0.2208251953125,0.50439453125,0.56103515625
chihuahua,30939,15183,0.4907398429167071,248,0.0080157729726235,0.0008559226989746,,
hartebeest,30939,16446,0.5315621060797052,248,0.0080157729726235,0.10955810546875,0.049530029296875,0.1392822265625
lion,30939,13208,0.4269045541226284,252,0.0081450596334723,0.402587890625,0.677734375,0.3408203125
oystercatcher,30939,18398,0.5946539965739035,257,0.0083066679595332,0.40966796875,0.17333984375,0.057037353515625
weimaraner,30939,16183,0.5230615081288988,269,0.0086945279420795,0.0253143310546875,,
carbonara,30939,15725,0.508258185461715,271,0.0087591712725039,0.2359619140625,0.505859375,0.176025390625
koala,30939,12309,0.397847377096868,277,0.0089531012637771,0.020660400390625,0.00616455078125,0.06475830078125
buckle,30939,14736,0.4762920585668573,283,0.0091470312550502,0.171875,0.240234375,0.0615234375
skunk,30939,12742,0.411842658133747,288,0.0093086395811112,0.0108718872070312,0.0147171020507812,0.045074462890625
macaque,30939,14310,0.4625230291864637,289,0.0093409612463234,0.055999755859375,0.01141357421875,0.07684326171875
ibex,30939,12142,0.392449659006432,290,0.0093732829115356,0.7060546875,0.60498046875,0.798828125
hamster,30939,15242,0.4926468211642263,292,0.0094379262419599,0.0035400390625,0.0251007080078125,0.0217742919921875
limpkin,30939,13115,0.4238986392578945,295,0.0095348912375965,0.026214599609375,0.0003449916839599,0.0134811401367187
pretzel,30939,12794,0.413523384724781,296,0.0095672129028087,0.875,0.293212890625,0.09954833984375
gown,30939,11686,0.3777109796696726,306,0.0098904295549306,0.04010009765625,0.309326171875,0.347900390625
toucan,30939,13319,0.4304922589611817,306,0.0098904295549306,0.27880859375,0.216552734375,0.58056640625
pomeranian,30939,15764,0.5095187304049905,315,0.0101813245418403,0.016815185546875,,
malamute,30939,15153,0.4897701929603413,316,0.0102136462070525,0.0057907104492187,0.0075798034667968,0.0162506103515625
beagle,30939,13644,0.440996800155144,323,0.0104398978635379,0.0091552734375,0.330078125,0.27001953125
junco,30939,12210,0.3946475322408611,325,0.0105045411939623,0.0155868530273437,0.0139007568359375,0.1817626953125
limousine,30939,14505,0.4688257539028411,328,0.0106015061895988,0.02392578125,0.04144287109375,0.0135498046875
oxcart,30939,12853,0.4154303629723003,333,0.0107631145156598,0.059844970703125,0.324462890625,0.06427001953125
cliff,30939,11170,0.3610330004201816,340,0.0109893661721451,0.72021484375,0.85546875,0.58935546875
dam,30939,11888,0.3842399560425353,344,0.0111186528329939,0.071533203125,0.1617431640625,0.136962890625
impala,30939,13071,0.4224764859885581,350,0.0113125828242671,0.2052001953125,0.018157958984375,0.381591796875
shoji,30939,12058,0.3897346391286079,355,0.011474191150328,0.1434326171875,0.8203125,0.4208984375
eggnog,30939,13003,0.4202786127541291,358,0.0115711561459646,0.73974609375,0.6533203125,0.9951171875
baboon,30939,14965,0.4836937199004493,364,0.0117650861372377,0.0009541511535644,0.0118179321289062,0.012115478515625
jacamar,30939,14372,0.4645269724296196,365,0.0117974078024499,0.290283203125,0.035888671875,0.0202789306640625
apiary,30939,12227,0.3951970005494683,366,0.0118297294676621,0.5556640625,0.5576171875,0.61083984375
dalmatian,30939,14770,0.4773909951840719,373,0.0120559811241475,0.00927734375,0.052276611328125,0.035308837890625
robin,30939,12459,0.4026956268786968,382,0.0123468761110572,0.343994140625,0.145751953125,0.61181640625
leopard,30939,14786,0.4779081418274669,383,0.0123791977762694,0.53466796875,0.85498046875,0.81884765625
ostrich,30939,13057,0.4220239826755874,387,0.0125084844371182,0.135009765625,0.10125732421875,0.038299560546875
langur,30939,12929,0.4178868095284269,405,0.0130902744109376,0.0123977661132812,0.0090866088867187,0.157470703125
cockroach,30939,15793,0.5104560586961441,406,0.0131225960761498,0.09033203125,0.0184326171875,0.05950927734375
carton,30939,12484,0.4035036685090016,412,0.0133165260674229,0.609375,0.84912109375,0.7587890625
groom,30939,13105,0.4235754226057726,413,0.0133488477326351,0.50634765625,0.168212890625,0.55810546875
