key,class_id,class_label
0,n01440764,tench
1,n01443537,goldfish
4,n01494475,hammerhead
6,n01498041,stingray
7,n01514668,cock
8,n01514859,hen
9,n01518878,ostrich
10,n01530575,brambling
11,n01531178,goldfinch
13,n01534433,junco
15,n01558993,robin
16,n01560419,bulbul
17,n01580077,jay
18,n01582220,magpie
19,n01592084,chickadee
21,n01608432,kite
23,n01616318,vulture
27,n01631663,eft
29,n01632777,axolotl
30,n01641577,bullfrog
33,n01664065,loggerhead
36,n01667778,terrapin
41,n01685808,whiptail
42,n01687978,agama
51,n01704323,triceratops
67,n01755581,diamondback
68,n01756291,sidewinder
69,n01768244,trilobite
70,n01770081,harvestman
71,n01770393,scorpion
76,n01774750,tarantula
78,n01776313,tick
79,n01784675,centipede
81,n01796340,ptarmigan
84,n01806143,peacock
85,n01806567,quail
86,n01807496,partridge
88,n01818515,macaw
90,n01820546,lorikeet
91,n01824575,coucal
93,n01829413,hornbill
94,n01833805,hummingbird
95,n01843065,jacamar
96,n01843383,toucan
97,n01847000,drake
99,n01855672,goose
101,n01871265,tusker
102,n01872401,echidna
103,n01873310,platypus
104,n01877812,wallaby
105,n01882714,koala
106,n01883070,wombat
107,n01910747,jellyfish
110,n01924916,flatworm
111,n01930112,nematode
112,n01943899,conch
113,n01944390,snail
114,n01945685,slug
116,n01955084,chiton
124,n01985128,crayfish
126,n01990800,isopod
129,n02006656,spoonbill
130,n02007558,flamingo
133,n02011460,bittern
134,n02012849,crane
135,n02013706,limpkin
138,n02018795,bustard
141,n02028035,redshank
142,n02033041,dowitcher
143,n02037110,oystercatcher
144,n02051845,pelican
146,n02058221,albatross
149,n02074367,dugong
151,n02085620,chihuahua
154,n02086079,pekinese
157,n02086910,papillon
161,n02088238,basset
162,n02088364,beagle
163,n02088466,bloodhound
164,n02088632,bluetick
168,n02090379,redbone
169,n02090622,borzoi
172,n02091134,whippet
175,n02091635,otterhound
176,n02091831,saluki
178,n02092339,weimaraner
191,n02096051,airedale
192,n02096177,cairn
204,n02098413,lhasa
211,n02100583,vizsla
216,n02101556,clumber
222,n02104029,kuvasz
223,n02104365,schipperke
224,n02105056,groenendael
225,n02105162,malinois
226,n02105251,briard
227,n02105412,kelpie
228,n02105505,komondor
231,n02106030,collie
234,n02106550,rottweiler
236,n02107142,doberman
240,n02107908,appenzeller
241,n02108000,entlebucher
242,n02108089,boxer
249,n02110063,malamute
251,n02110341,dalmatian
252,n02110627,affenpinscher
253,n02110806,basenji
254,n02110958,pug
255,n02111129,leonberg
256,n02111277,newfoundland
258,n02111889,samoyed
259,n02112018,pomeranian
260,n02112137,chow
261,n02112350,keeshond
263,n02113023,pembroke
264,n02113186,cardigan
272,n02114855,coyote
273,n02115641,dingo
274,n02115913,dhole
276,n02117135,hyena
281,n02123045,tabby
286,n02125311,cougar
287,n02127052,lynx
288,n02128385,leopard
290,n02128925,jaguar
291,n02129165,lion
292,n02129604,tiger
293,n02130308,cheetah
298,n02137549,mongoose
299,n02138441,meerkat
301,n02165456,ladybug
307,n02177972,weevil
308,n02190166,fly
